Kingdom	Phylum	Class	Order	Family	Genus	Species
TAXA_166	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. R-37024
TAXA_167	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. enrichment culture clone HSL37
TAXA_168	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. enrichment culture clone HSL85
TAXA_169	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. enrichment culture clone HSL61
TAXA_170	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. YX116S
TAXA_171	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. DYJL43
TAXA_172	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium TOPO-2YTclone1B
TAXA_173	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. BR3341
TAXA_174	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus argenteus
TAXA_175	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria oceani
TAXA_176	Bacteria	unknown	unknown	unknown	unknown	unknown	endophytic bacterium 40L-1
TAXA_177	Bacteria	unknown	unknown	unknown	unknown	unknown	endophytic bacterium 135L-3
TAXA_178	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. SEL2
TAXA_179	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. L177(2011)
TAXA_180	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. MPR16
TAXA_181	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. NBRC 101767
TAXA_182	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. RJ-03
TAXA_183	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis
TAXA_184	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. SRI 211
TAXA_185	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. D5A
TAXA_186	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. VITNC1
TAXA_187	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. VITC1
TAXA_188	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium NLAE-zl-P150
TAXA_189	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium NLAE-zl-P21
TAXA_190	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium NLAE-zl-P275
TAXA_191	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. SSBC2
TAXA_192	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. PXG11
TAXA_193	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. SU-14
TAXA_194	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unknown	unknown	Enterobacteriales bacterium XT12
TAXA_195	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unknown	Enterobacteriaceae bacterium CICR-WR
TAXA_196	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium NLAE-zl-H79
TAXA_197	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. A11
TAXA_198	Bacteria	Firmicutes	Bacilli	Bacillales	unknown	Exiguobacterium	Exiguobacterium sp. ZWU0009
TAXA_199	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Q-20
TAXA_200	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. BTSUK
TAXA_201	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. A2(2012b)
TAXA_202	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria sp. M-10
TAXA_203	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium RB5-FF-1
TAXA_204	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium RB5-FF-14
TAXA_205	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium RB5-FF-15
TAXA_206	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium RB5-FF-18
TAXA_207	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium RB5-FF-22
TAXA_208	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium RB5-FF-9
TAXA_209	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. G1-15
TAXA_210	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. G1-6
TAXA_211	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. G2-4
TAXA_212	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. SFR-112
TAXA_213	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. WB-1
TAXA_214	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. TCP31
TAXA_215	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium 14W323
TAXA_216	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium W29
TAXA_217	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. Org
TAXA_218	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. D11(2013)
